CENY;AF1;AF4;AF6;
VVN_vzduch-VVN_vedenie;30307;30127;30127;
VVN_vzduch-VVN_stoziar;21857;20214;20214;
VVN_kabel-VVN_cable;0;0;0;
ES-HV_trafo;314000;;314000;
ES-HV_field;173000;;163000;
ES-PROTECTIONS;38250;;41260;
ES-OWN_CONSUMPTION;170800;;132251;
ES-BUILDING;658330;;665330;
ES-MV_field;21300;;24700;
VN_vzduch-VN_ocel;35881;53881;;
VN_vzduch-VN_drevo;25605;30097;;
VN_vzduch-VN_beton;27369;27369;27369;
VN_kabel-VN_olej;60496;1;;
VN_kabel-VN_plast;58496;59996;;
DTS-DTS_kiosk;28629;28629;28629;
DTS-DTS_murovana;21299;;;
DTS-DTS_stoziarova;15662;13669;16639;
NN_vzduch-NN_vedenie;28146;34686;0;
NN_kabel-NN_izolovane;44167;43372;42146;
